OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,FC_FC_CODE,FC_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,speed
1,"0020177",0,0.03,"4",Minor Arterial,"002",ANSONIA,"2024",{D345B119-D8CF-4C67-AFC6-ECBB670D2A71},40
2,"0020189",0,0.14,"7",Local,"002",ANSONIA,"2024",{76ECFD45-FFAC-4CB5-97C6-551EFFB63D1D},25
3,"0020198",0.08,0.25,"7",Local,"002",ANSONIA,"2024",{5377FED8-8357-4354-97A5-AD0C3FDBE428},25
4,"0020215",0,0.24,"7",Local,"002",ANSONIA,"2024",{A2ADBCB6-8556-4E81-BBC1-1531C6462E53},25
5,"0020222",0,0.08,"7",Local,"002",ANSONIA,"2024",{FB27EFDC-707F-4F02-A6A9-D885E493BF91},25
6,"0020237",0,0.1,"7",Local,"002",ANSONIA,"2024",{F4083E49-C9B4-4744-ADFE-31C3E0F046E9},25
7,"0020241",0,0.21,"7",Local,"002",ANSONIA,"2024",{C36D120D-EF23-408A-80D0-9F7EB0C77397},25
8,"0020249",0,0.61,"5",Major Collector,"002",ANSONIA,"2024",{E58C0ADC-A2E4-4CB7-9B6C-7D488B80A3B5},30
9,"0020250",0,0.25,"7",Local,"002",ANSONIA,"2024",{35E5A20E-FE5A-4CB6-AAC0-989742B379F8},25
10,"0020257",0,0.02,"7",Local,"002",ANSONIA,"2024",{1BF3BDDC-B24E-4B5C-BF7F-DFE991537409},25
11,"0020274",0,0.13,"7",Local,"002",ANSONIA,"2024",{15188E45-F01D-4F60-B2F8-DD04F44F9C1A},25
12,"0020283",0,0.12,"7",Local,"002",ANSONIA,"2024",{5641D5D9-F1F4-4926-A8FC-895A41A0622C},25
13,"0020290",0,0.14,"7",Local,"002",ANSONIA,"2024",{47FD00A7-48E7-4C86-9472-610077C04A06},25
14,"0020292",0,0.18,"7",Local,"002",ANSONIA,"2024",{560D7A17-7CA6-4E49-86A4-91002C730559},25
15,"0020295",0,0.03,"7",Local,"002",ANSONIA,"2024",{0AC77C94-16D4-4C48-839F-A94B0F78436A},25
16,"0020308",0,0.12,"7",Local,"002",ANSONIA,"2024",{CC3D941C-ED25-4B4F-9924-4821332F0532},25
17,"0020313",0,0.27,"7",Local,"002",ANSONIA,"2024",{BA469E04-D7AF-443F-94CC-BE1B8A5FB9EA},25
