4G's,Dayville,CT,USA,Greek
Alforno,Old Saybrook,CT,USA,Neapolitan
Amato's,Madison,CT,USA,Apizza
Atticus Market,New Haven,CT,USA,Neapolitan
Bar,New Haven,CT,USA,Tavern
Beverly Pizza House,Bridgeport,CT,USA,Greek
Bobby's Apizza,North Branford,CT,USA,Apizza
Brick and Basil,Norwich,CT,USA,Neapolitan
Brickside Pizza,Ivoryton,CT,USA,Neapolitan
Bufalina,Guilford,CT,USA,Neapolitan
Camille's,Tolland,CT,USA,Neapolitan
Carmine's Pizza,Durham,CT,USA,Neapolitan
Christo's,Wallingford,CT,USA,"Neapolitan, Thick"
CJ's Pizza,Manchester,CT,USA,Neapolitan
Classic Pizza,Brookyln,CT,USA,Greek
Coastline Brewing and Pizzeria,Westbrook,CT,USA,Neapolitan
Colony Grill,Stamford,CT,USA,Tavern
Crust Issues,Norwalk,CT,USA,Thick
Da Legna at Nolo,New Haven,CT,USA,Neapolitan
Dante's,New Canaan,CT,USA,Neapolitan
Domenic and Vinnie's,Watebury,CT,USA,Neapolitan
Domenick and Pia,Waterbury,CT,USA,Neapolitan
E and D Pizza Co.,Avon,CT,USA,Neapolitan
Ernie's,New Haven,CT,USA,Apizza
Est Est Est,New Haven,CT,USA,Neapolitan
Fire Engine Pizza Co,Bridgeport,CT,USA,Neapolitan
Fireside Brick Oven Creations,Gales Ferry,CT,USA,Neapolitan
First and Last Tavern,Hartford,CT,USA,Neapolitan
Frank Pepe's,New Haven,CT,USA,Apizza
Fuoco Apizza,Cheshire,CT,USA,Apizza
George's Pizza,Unionville,CT,USA,Greek
GG's Wood Fired Pizza,Milford,CT,USA,Neapolitan
Good Old Days,Newtown,CT,USA,"Neapolitan, Thick"
Grand Apizza,Clinton,CT,USA,Apizza
Grigg Street,Greenwich,CT,USA,Neapolitan
Hartford Road Pizza,Manchester,CT,USA,Greek
Haven,Prospect,CT,USA,Neapolitan
Jam City,Hamden,CT,USA,Thick
Jimmy's Apizza,Milford,CT,USA,Apizza
John and Maria's,East Haven,CT,USA,Neapolitan
Jordan's,Norwalk,CT,USA,Greek
Julio's Wood Fired Pizza,Southbury,CT,USA,Neapolitan
Krust,Middletown,CT,USA,Neapolitan
Letizia's,Norwalk,CT,USA,Neapolitan
Little City Pizza,Avon,CT,USA,Neapolitan
Little Rendezvous,Meriden,CT,USA,Apizza
Mango's,Mystic,CT,USA,Neapolitan
Martino's Pizzaria,Oakville,CT,USA,Greek
Mike's Apiiza,West Haven,CT,USA,Apizza
Modern,New Haven,CT,USA,Apizza
Mondo,Middletown,CT,USA,Neapolitan
Mulberry Street Pizza,Manchester,CT,USA,Neapolitan
Mystic Pizza,Mystic,CT,USA,Greek
Name,City,State,Country,Type
Nana's,Mystic,CT,USA,Thick
Naples Pizza,Farmington,CT,USA,Neapolitan
Napoli Pizza,Wallingford,CT,USA,Neapolitan
Nauti Dolphin,Fairfield,CT,USA,Neapolitan
New England Pizza,Vernon,CT,USA,Greek
New Haven Pizza Place,Milford,CT,USA,Apizza
Olde World Apizza,North Haven,CT,USA,Apizza
One and Three,New Haven,CT,USA,Apizza
Otto,Chester,CT,USA,Neapolitan
Ozzy's,New Haven,CT,USA,Apizza
Papa's Pizza,Milford,CT,USA,Neapolitan
Pete's Pizza Palace,Rocky Hill,CT,USA,Greek
Pies and Pubs,Middlebury,CT,USA,Neapolitan
Pizza 101,Pomfret,CT,USA,Greek
Pizza Garden,Hartford,CT,USA,"Apizza, Neapolitan, Thick"
Pizza Palace,Old Saybrook,CT,USA,Greek
Pizza Palace,Groton,CT,USA,Greek
Pizza Works,Old Saybrook,CT,USA,Tavern
Pizzeria Marzano,Torrington,CT,USA,Neapolitan
Privateers,Essex,CT,USA,Neapolitan
Remo's Brick Oven Pizza,Stamford,CT,USA,Neapolitan
Riko's Pizza,Stamford,CT,USA,Tavern
Roma Pizzeria,Ansonia,CT,USA,Neapolitan
Roseland,Derby,CT,USA,Apizza
Rossini's Pizza,Cheshire,CT,USA,Neapolitan
Rossini's Pizza,East Hampton,CT,USA,Neapolitan
Sally's ,New Haven,CT,USA,Apizza
Sapore Pizzeria,Old Lyme,CT,USA,Neapolitan
Sasso's,Torrington,CT,USA,Neapolitan
Savoy Pizzeria,West Hartford,CT,USA,Neapolitan
Sicily Wood Fired Pizza,Middletown,CT,USA,Neapolitan
Swyft,Kent,CT,USA,Neapolitan
Three Fellas,Marlborough,CT,USA,Tavern
Tipsy Tomato,Derby,CT,USA,Apizza
Tony's,Willimantic,CT,USA,Greek
Trigo Wood Fired Pizza,Windham,CT,USA,Neapolitan
Vero Cucino Rustico,Middletown,CT,USA,Neapolitan
Village Pizza of Wethersfield,Wethersfield,CT,USA,Greek
Vincitori,Niantic,CT,USA,Apizza
Vito's,Wethersfield,CT,USA,Neapolitan
Westover Pizza,Stamford,CT,USA,Tavern
Willington Pizza,Willington,CT,USA,Greek
Zeneli,New Haven,CT,USA,Neapolitan
Zephyr's Street Pizza,West Hartford,CT,USA,Tavern
Zois Pizza Palace,Seymour,CT,USA,Greek
Zuppardi's,West Haven,CT,USA,Apizza
