"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B07003_001E","Estimate!!Total:"
"B07003_001M","Margin of Error!!Total:"
"B07003_002E","Estimate!!Total:!!Male"
"B07003_002M","Margin of Error!!Total:!!Male"
"B07003_003E","Estimate!!Total:!!Female"
"B07003_003M","Margin of Error!!Total:!!Female"
"B07003_004E","Estimate!!Total:!!Same house 1 year ago:"
"B07003_004M","Margin of Error!!Total:!!Same house 1 year ago:"
"B07003_005E","Estimate!!Total:!!Same house 1 year ago:!!Male"
"B07003_005M","Margin of Error!!Total:!!Same house 1 year ago:!!Male"
"B07003_006E","Estimate!!Total:!!Same house 1 year ago:!!Female"
"B07003_006M","Margin of Error!!Total:!!Same house 1 year ago:!!Female"
"B07003_007E","Estimate!!Total:!!Moved within same county:"
"B07003_007M","Margin of Error!!Total:!!Moved within same county:"
"B07003_008E","Estimate!!Total:!!Moved within same county:!!Male"
"B07003_008M","Margin of Error!!Total:!!Moved within same county:!!Male"
"B07003_009E","Estimate!!Total:!!Moved within same county:!!Female"
"B07003_009M","Margin of Error!!Total:!!Moved within same county:!!Female"
"B07003_010E","Estimate!!Total:!!Moved from different county within same state:"
"B07003_010M","Margin of Error!!Total:!!Moved from different county within same state:"
"B07003_011E","Estimate!!Total:!!Moved from different county within same state:!!Male"
"B07003_011M","Margin of Error!!Total:!!Moved from different county within same state:!!Male"
"B07003_012E","Estimate!!Total:!!Moved from different county within same state:!!Female"
"B07003_012M","Margin of Error!!Total:!!Moved from different county within same state:!!Female"
"B07003_013E","Estimate!!Total:!!Moved from different state:"
"B07003_013M","Margin of Error!!Total:!!Moved from different state:"
"B07003_014E","Estimate!!Total:!!Moved from different state:!!Male"
"B07003_014M","Margin of Error!!Total:!!Moved from different state:!!Male"
"B07003_015E","Estimate!!Total:!!Moved from different state:!!Female"
"B07003_015M","Margin of Error!!Total:!!Moved from different state:!!Female"
"B07003_016E","Estimate!!Total:!!Moved from abroad:"
"B07003_016M","Margin of Error!!Total:!!Moved from abroad:"
"B07003_017E","Estimate!!Total:!!Moved from abroad:!!Male"
"B07003_017M","Margin of Error!!Total:!!Moved from abroad:!!Male"
"B07003_018E","Estimate!!Total:!!Moved from abroad:!!Female"
"B07003_018M","Margin of Error!!Total:!!Moved from abroad:!!Female"
