"Label (Grouping)","Oregon!!Estimate","Oregon!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error"
"Total:","1,642,579","±3,451","2,905,822","±5,585"
"    Less than $10,000","88,320","±2,485","128,995","±3,066"
"    $10,000 to $14,999","62,190","±2,230","89,342","±2,703"
"    $15,000 to $19,999","64,285","±2,073","89,034","±2,244"
"    $20,000 to $24,999","69,542","±1,980","98,392","±2,710"
"    $25,000 to $29,999","69,878","±2,057","96,810","±2,321"
"    $30,000 to $34,999","72,257","±2,242","102,470","±2,425"
"    $35,000 to $39,999","68,877","±2,381","102,798","±2,933"
"    $40,000 to $44,999","67,335","±1,970","109,838","±2,803"
"    $45,000 to $49,999","63,741","±2,239","102,104","±3,014"
"    $50,000 to $59,999","127,297","±2,723","211,704","±3,639"
"    $60,000 to $74,999","170,588","±3,336","285,046","±4,009"
"    $75,000 to $99,999","218,325","±3,653","394,352","±4,690"
"    $100,000 to $124,999","161,435","±3,247","308,233","±4,380"
"    $125,000 to $149,999","105,256","±2,660","220,953","±3,812"
"    $150,000 to $199,999","114,652","±2,319","259,273","±3,401"
"    $200,000 or more","118,601","±2,840","306,478","±4,023"
