"Label (Grouping)","Oregon!!Occupied housing units!!Estimate","Oregon!!Occupied housing units!!Margin of Error","Oregon!!Percent occupied housing units!!Estimate","Oregon!!Percent occupied housing units!!Margin of Error","Oregon!!Owner-occupied housing units!!Estimate","Oregon!!Owner-occupied housing units!!Margin of Error","Oregon!!Percent owner-occupied housing units!!Estimate","Oregon!!Percent owner-occupied housing units!!Margin of Error","Oregon!!Renter-occupied housing units!!Estimate","Oregon!!Renter-occupied housing units!!Margin of Error","Oregon!!Percent renter-occupied housing units!!Estimate","Oregon!!Percent renter-occupied housing units!!Margin of Error","Washington!!Occupied housing units!!Estimate","Washington!!Occupied housing units!!Margin of Error","Washington!!Percent occupied housing units!!Estimate","Washington!!Percent occupied housing units!!Margin of Error","Washington!!Owner-occupied housing units!!Estimate","Washington!!Owner-occupied housing units!!Margin of Error","Washington!!Percent owner-occupied housing units!!Estimate","Washington!!Percent owner-occupied housing units!!Margin of Error","Washington!!Renter-occupied housing units!!Estimate","Washington!!Renter-occupied housing units!!Margin of Error","Washington!!Percent renter-occupied housing units!!Estimate","Washington!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,642,579","±3,451","1,642,579","±3,451","1,031,006","±6,702","1,031,006","±6,702","611,573","±5,491","611,573","±5,491","2,905,822","±5,585","2,905,822","±5,585","1,838,059","±9,076","1,838,059","±9,076","1,067,763","±6,807","1,067,763","±6,807"
"    UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","",""
"        1, detached","1,042,922","±5,652","63.5%","±0.3","865,355","±6,261","83.9%","±0.3","177,567","±3,171","29.0%","±0.4","1,841,752","±7,777","63.4%","±0.2","1,553,430","±8,930","84.5%","±0.2","288,322","±4,616","27.0%","±0.3"
"        1, attached","78,727","±1,926","4.8%","±0.1","35,244","±1,262","3.4%","±0.1","43,483","±1,616","7.1%","±0.3","120,196","±2,826","4.1%","±0.1","64,073","±1,807","3.5%","±0.1","56,123","±2,014","5.3%","±0.2"
"        2 apartments","41,787","±1,590","2.5%","±0.1","4,103","±421","0.4%","±0.1","37,684","±1,572","6.2%","±0.2","65,527","±2,369","2.3%","±0.1","10,721","±1,226","0.6%","±0.1","54,806","±2,078","5.1%","±0.2"
"        3 or 4 apartments","70,947","±2,499","4.3%","±0.2","5,360","±796","0.5%","±0.1","65,587","±2,241","10.7%","±0.4","103,897","±2,621","3.6%","±0.1","12,840","±983","0.7%","±0.1","91,057","±2,455","8.5%","±0.2"
"        5 to 9 apartments","70,989","±2,283","4.3%","±0.1","4,740","±580","0.5%","±0.1","66,249","±2,191","10.8%","±0.3","127,855","±2,783","4.4%","±0.1","14,944","±975","0.8%","±0.1","112,911","±2,783","10.6%","±0.3"
"        10 or more apartments","206,601","±3,191","12.6%","±0.2","12,922","±941","1.3%","±0.1","193,679","±3,233","31.7%","±0.5","472,076","±4,751","16.2%","±0.2","50,439","±1,661","2.7%","±0.1","421,637","±4,400","39.5%","±0.3"
"        Mobile home or other type of housing","130,606","±2,615","8.0%","±0.2","103,282","±2,424","10.0%","±0.2","27,324","±1,186","4.5%","±0.2","174,519","±2,846","6.0%","±0.1","131,612","±2,509","7.2%","±0.1","42,907","±1,805","4.0%","±0.2"
"    YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","",""
"        2014 or later","60,493","±2,212","3.7%","±0.1","32,608","±1,375","3.2%","±0.1","27,885","±1,598","4.6%","±0.3","138,825","±2,953","4.8%","±0.1","73,458","±2,171","4.0%","±0.1","65,367","±2,412","6.1%","±0.2"
"        2010 to 2013","40,770","±1,628","2.5%","±0.1","21,523","±1,123","2.1%","±0.1","19,247","±1,277","3.1%","±0.2","105,530","±2,515","3.6%","±0.1","59,504","±1,673","3.2%","±0.1","46,026","±1,828","4.3%","±0.2"
"        2000 to 2009","229,394","±3,490","14.0%","±0.2","157,218","±2,671","15.2%","±0.2","72,176","±2,324","11.8%","±0.4","438,630","±5,092","15.1%","±0.2","306,561","±4,460","16.7%","±0.2","132,069","±3,229","12.4%","±0.3"
"        1980 to 1999","457,932","±4,180","27.9%","±0.2","280,399","±3,747","27.2%","±0.3","177,533","±2,691","29.0%","±0.4","866,437","±5,356","29.8%","±0.2","537,396","±4,892","29.2%","±0.2","329,041","±4,412","30.8%","±0.4"
"        1960 to 1979","457,867","±4,085","27.9%","±0.2","276,306","±3,319","26.8%","±0.3","181,561","±3,771","29.7%","±0.5","723,727","±5,138","24.9%","±0.2","436,405","±4,204","23.7%","±0.2","287,322","±4,443","26.9%","±0.4"
"        1940 to 1959","216,302","±3,100","13.2%","±0.2","144,120","±2,449","14.0%","±0.2","72,182","±2,130","11.8%","±0.3","347,740","±4,136","12.0%","±0.1","237,237","±3,391","12.9%","±0.2","110,503","±2,789","10.3%","±0.2"
"        1939 or earlier","179,821","±2,820","10.9%","±0.2","118,832","±2,353","11.5%","±0.2","60,989","±1,776","10.0%","±0.3","284,933","±3,830","9.8%","±0.1","187,498","±3,050","10.2%","±0.2","97,435","±2,609","9.1%","±0.2"
"    ROOMS","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 room","44,943","±1,949","2.7%","±0.1","4,866","±647","0.5%","±0.1","40,077","±1,823","6.6%","±0.3","89,081","±2,444","3.1%","±0.1","8,464","±706","0.5%","±0.1","80,617","±2,431","7.6%","±0.2"
